size,nb,ib,threads,GFlops
4096,272,80,4,100.5324
4096,272,88,4,96.8259
4096,272,96,4,101.0031
4096,272,104,4,89.0627
4096,272,112,4,86.4376
4096,272,120,4,94.6649
4096,272,128,4,88.8944
4096,272,136,4,83.3601
4096,272,144,4,84.023
4096,272,152,4,91.0899
4096,272,160,4,82.1895
4096,272,168,4,87.082
4096,272,176,4,83.7035
4096,272,184,4,76.9762
4096,272,192,4,90.3403
4096,272,200,4,92.2014
4096,272,208,4,88.6625
4096,272,216,4,90.0433
4096,272,224,4,80.9439
4096,272,232,4,87.4571
4096,272,240,4,85.6828
4096,272,248,4,81.5202
4096,272,256,4,77.7628
4096,272,264,4,79.19
4096,280,8,4,89.4133
4096,280,16,4,106.048
4096,280,24,4,109.3811
4096,280,32,4,117.6062
4096,280,40,4,111.9301
4096,280,48,4,110.9319
4096,280,56,4,107.8061
4096,280,64,4,101.5139
4096,280,72,4,104.4765
4096,280,80,4,90.9899
4096,280,88,4,103.2655
4096,280,96,4,100.4429
4096,280,104,4,103.6762
4096,280,112,4,98.3803
4096,280,120,4,77.993
4096,280,128,4,93.8136
4096,280,136,4,95.894
4096,280,144,4,83.1689
4096,280,152,4,88.3607
4096,280,160,4,86.1052
4096,280,168,4,93.4288
4096,280,176,4,77.9076
4096,280,184,4,83.33
4096,280,192,4,94.2521
4096,280,200,4,88.5795
4096,280,208,4,80.8959
4096,280,216,4,79.527
4096,280,224,4,78.5575
4096,280,232,4,77.0606
4096,280,240,4,75.3164
4096,280,248,4,86.7897
4096,280,256,4,85.0459
4096,280,264,4,86.0095
4096,280,272,4,69.1485
4096,288,8,4,86.0752
4096,288,16,4,104.8137
4096,288,24,4,106.0269
4096,288,32,4,110.5433
4096,288,40,4,110.4533
4096,288,48,4,109.3624
4096,288,56,4,103.893
4096,288,64,4,88.6531
4096,288,72,4,108.5451
4096,288,80,4,98.9221
4096,288,88,4,101.1104
4096,288,96,4,92.1927
4096,288,104,4,87.3365
4096,288,112,4,84.1411
4096,288,120,4,89.7609
4096,288,128,4,83.377
4096,288,136,4,82.0663
4096,288,144,4,88.5103
4096,288,152,4,81.858
4096,288,160,4,81.0093
4096,288,168,4,91.8817
4096,288,176,4,86.5389
4096,288,184,4,78.5169
4096,288,192,4,91.4947
4096,288,200,4,91.559
4096,288,208,4,80.5056
4096,288,216,4,85.0969
4096,288,224,4,90.2498
4096,288,232,4,75.3699
4096,288,240,4,86.7445
4096,288,248,4,86.3097
4096,288,256,4,83.5412
4096,288,264,4,83.1481
4096,288,272,4,83.3912
4096,288,280,4,80.7996
4096,296,8,4,90.6647
4096,296,16,4,103.3133
4096,296,24,4,93.849
4096,296,32,4,115.8753
4096,296,40,4,117.0748
4096,296,48,4,107.8514
4096,296,56,4,107.1123
4096,296,64,4,105.1627
4096,296,72,4,103.1076
4096,296,80,4,94.6321
4096,296,88,4,96.9522
4096,296,96,4,80.8528
4096,296,104,4,81.2404
4096,296,112,4,95.0526
4096,296,120,4,86.3964
4096,296,128,4,83.6114
4096,296,136,4,88.7193
4096,296,144,4,89.3419
4096,296,152,4,78.1925
4096,296,160,4,82.5133
4096,296,168,4,81.8721
4096,296,176,4,88.434
4096,296,184,4,82.4811
4096,296,192,4,83.1604
4096,296,200,4,91.9529
4096,296,208,4,83.9996
4096,296,216,4,80.2004
4096,296,224,4,87.4186
4096,296,232,4,90.3382
4096,296,240,4,74.2649
4096,296,248,4,75.8127
4096,296,256,4,82.246
4096,296,264,4,87.2537
4096,296,272,4,70.5639
4096,296,280,4,83.8112
4096,296,288,4,81.9867
4096,304,8,4,87.9979
4096,304,16,4,102.6805
4096,304,24,4,99.5552
4096,304,32,4,112.497
4096,304,40,4,119.326
4096,304,48,4,108.0235
4096,304,56,4,107.0625
4096,304,64,4,100.9166
4096,304,72,4,105.5158
4096,304,80,4,104.5489
4096,304,88,4,103.8229
4096,304,96,4,102.4166
4096,304,104,4,103.5552
4096,304,112,4,94.5534
4096,304,120,4,101.0632
4096,304,128,4,87.6729
4096,304,136,4,80.5207
4096,304,144,4,83.7161
4096,304,152,4,92.5763
4096,304,160,4,81.2629
4096,304,168,4,87.1426
4096,304,176,4,81.238
4096,304,184,4,85.1001
4096,304,192,4,82.4744
4096,304,200,4,81.3007
4096,304,208,4,87.9279
